Timestamp,What is your age ?,What is are you currently studying ?,What is your average attendance ?,What was your average percentage/CGPA in the last exam ?,How many hour do study on an average day ?, Have you failed any subject in the last academic year ?  ,How interested are you in your current course ?  ,Do financial difficulties affect your education ?  ,How far is your school/college from your home ?  ,Do you have reliable internet access for your studies ?  ,"On average, how many hours do you spend on social media each day ?  ",Which of the following affects your studies the most ?  ,Have you ever missed classes for more than one week continuously ?  ,Have you ever thought about taking a break from your education because of personal or academic difficulties ?  ,What kind of support would help you continue your education ?  
28/06/2026 17:55:11,above 20,Undergraduate,Above 90%,75 - 89%,1–2 hours,No,3,3,5–10 km,Sometimes,More than 4 hours,"Financial problems, Family responsibilities, Lack of motivation, Academic pressure",No,Sometimes,"Financial assistance, Academic tutoring, Career guidance"
28/06/2026 18:21:01,above 20,Postgraduate,75 - 90%,75 - 89%,More than 4 hours,No,4,1,2–5 km,Yes,1–2 hours,Transportation issues,No,Rarely,"Academic tutoring, Career guidance"
28/06/2026 18:29:44,18 - 20,Undergraduate,75 - 90%,75 - 89%,3–4 hours,No,4,3,More than 10 km,Yes,1–2 hours,"Health issues, Lack of motivation",No,Rarely,"Academic tutoring, Career guidance"
28/06/2026 20:54:26,18 - 20,Undergraduate,Above 90%,75 - 89%,Less than 1 hour,No,4,4,Less than 2 km,Yes,1–2 hours,None,No,Rarely,Career guidance
30/06/2026 14:42:47,above 20,Undergraduate,75 - 90%,75 - 89%,1–2 hours,No,3,2,More than 10 km,No,3–4 hours,"Health issues, Academic pressure",No,Never,"Academic tutoring, Career guidance, Better internet access"
30/06/2026 14:42:54,18 - 20,Undergraduate,Above 90%,Above 90%,Less than 1 hour,No,1,3,More than 10 km,Yes,1–2 hours,"Financial problems, Health issues, Lack of motivation",Yes,Never,"Financial assistance, Academic tutoring, Career guidance"
30/06/2026 14:43:23,18 - 20,Undergraduate,Above 90%,Above 90%,Less than 1 hour,No,3,3,More than 10 km,Yes,3–4 hours,"Lack of motivation, None",No,Never,"Financial assistance, Academic tutoring, Career guidance, Mental health/counseling support, Better transportation, Better internet access, Other"
30/06/2026 14:46:52,18 - 20,Undergraduate,75 - 90%,75 - 89%,Less than 1 hour,No,2,5,More than 10 km,Yes,More than 4 hours,"Financial problems, Health issues, Lack of motivation",No,Rarely,"Financial assistance, Mental health/counseling support"
30/06/2026 14:56:33,18 - 20,Undergraduate,75 - 90%,75 - 89%,1–2 hours,No,1,2,Less than 2 km,Sometimes,3–4 hours,Lack of motivation,Yes,Rarely,Academic tutoring
30/06/2026 16:21:06,18 - 20,Undergraduate,75 - 90%,75 - 89%,Less than 1 hour,No,3,3,More than 10 km,No,3–4 hours,Health issues,Yes,Never,"Financial assistance, Academic tutoring, Career guidance, Mental health/counseling support, Better internet access"
